time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-07-30 00:00:00+00:00,1,1,,
2025-08-03 00:00:00+00:00,1,1,,
2025-08-08 00:00:00+00:00,11,9,9.0,2.0
